gamecode_full,gamecode_num,date,group,round,home_team_code,away_team_code,home_score,away_score,season_code
E2025_145,145,2025-12-11T00:00:00+00:00,Regular Season,RS,MAD,BAS,94,87,E2025
E2025_146,146,2025-12-11T00:00:00+00:00,Regular Season,RS,PAM,IST,94,82,E2025
E2025_142,142,2025-12-12T00:00:00+00:00,Regular Season,RS,DUB,MUN,89,88,E2025
E2025_147,147,2025-12-12T00:00:00+00:00,Regular Season,RS,MCO,ULK,86,92,E2025
E2025_148,148,2025-12-12T00:00:00+00:00,Regular Season,RS,BAR,OLY,98,85,E2025
E2025_149,149,2025-12-12T00:00:00+00:00,Regular Season,RS,PAR,RED,79,76,E2025
E2025_150,150,2025-12-12T00:00:00+00:00,Regular Season,RS,VIR,HTA,74,79,E2025
E2025_151,151,2025-12-16T00:00:00+00:00,Regular Season,RS,DUB,TEL,95,97,E2025
E2025_152,152,2025-12-16T00:00:00+00:00,Regular Season,RS,MIL,MAD,89,82,E2025
E2025_153,153,2025-12-16T00:00:00+00:00,Regular Season,RS,ULK,PAN,77,81,E2025
E2025_154,154,2025-12-16T00:00:00+00:00,Regular Season,RS,HTA,RED,84,78,E2025
E2025_155,155,2025-12-16T00:00:00+00:00,Regular Season,RS,OLY,PAM,92,99,E2025
E2025_156,156,2025-12-16T00:00:00+00:00,Regular Season,RS,PRS,BAR,69,85,E2025
E2025_157,157,2025-12-17T00:00:00+00:00,Regular Season,RS,BAS,MCO,85,73,E2025
E2025_158,158,2025-12-17T00:00:00+00:00,Regular Season,RS,ASV,MUN,76,74,E2025
E2025_159,159,2025-12-17T00:00:00+00:00,Regular Season,RS,PAR,VIR,68,86,E2025
E2025_160,160,2025-12-17T00:00:00+00:00,Regular Season,RS,ZAL,IST,64,87,E2025
E2025_161,161,2025-12-18T00:00:00+00:00,Regular Season,RS,MIL,ULK,72,87,E2025
E2025_162,162,2025-12-18T00:00:00+00:00,Regular Season,RS,TEL,PAM,85,82,E2025
E2025_163,163,2025-12-18T00:00:00+00:00,Regular Season,RS,PAN,HTA,93,82,E2025
E2025_164,164,2025-12-18T00:00:00+00:00,Regular Season,RS,MAD,PRS,95,90,E2025
E2025_165,165,2025-12-19T00:00:00+00:00,Regular Season,RS,IST,DUB,76,80,E2025
E2025_166,166,2025-12-19T00:00:00+00:00,Regular Season,RS,MCO,MUN,103,77,E2025
E2025_167,167,2025-12-19T00:00:00+00:00,Regular Season,RS,RED,VIR,90,89,E2025
E2025_168,168,2025-12-19T00:00:00+00:00,Regular Season,RS,BAR,BAS,134,124,E2025
E2025_169,169,2025-12-19T00:00:00+00:00,Regular Season,RS,OLY,ASV,107,84,E2025
E2025_170,170,2025-12-19T00:00:00+00:00,Regular Season,RS,ZAL,PAR,109,68,E2025
E2025_171,171,2025-12-23T00:00:00+00:00,Regular Season,RS,MUN,HTA,72,82,E2025
E2025_172,172,2025-12-23T00:00:00+00:00,Regular Season,RS,ULK,BAR,72,71,E2025
E2025_173,173,2025-12-23T00:00:00+00:00,Regular Season,RS,ASV,IST,103,99,E2025
E2025_174,174,2025-12-23T00:00:00+00:00,Regular Season,RS,PRS,RED,102,92,E2025
E2025_175,175,2025-12-23T00:00:00+00:00,Regular Season,RS,PAM,BAS,91,81,E2025
E2025_176,176,2025-12-23T00:00:00+00:00,Regular Season,RS,ZAL,PAN,85,92,E2025
